,,POTATO,CABBAGE,BEETROOT,CARROT
Częstochowska 4/6,26,42.0,20.0,11.0,30.0
Ostrobramska 71,26,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,26,42.0,20.0,11.0,30.0
Sardyńska 1,26,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,26,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,26,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,26,42.0,20.0,12.0,30.0
Złota 44,27,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,27,41.0,19.0,12.0,29.0
Mińska 25A,27,41.0,19.0,13.0,30.0
Częstochowska 4/6,27,42.0,20.0,11.0,30.0
Ostrobramska 71,27,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,27,42.0,20.0,11.0,30.0
Sardyńska 1,27,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,27,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,27,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,27,42.0,20.0,12.0,30.0
Złota 44,28,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,28,41.0,19.0,12.0,29.0
Mińska 25A,28,41.0,19.0,13.0,30.0
Częstochowska 4/6,28,42.0,20.0,11.0,30.0
Ostrobramska 71,28,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,28,42.0,20.0,11.0,30.0
Sardyńska 1,28,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,28,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,28,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,28,42.0,20.0,12.0,30.0
Złota 44,29,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,29,41.0,19.0,12.0,29.0
Mińska 25A,29,41.0,19.0,13.0,30.0
Częstochowska 4/6,29,42.0,20.0,11.0,30.0
Ostrobramska 71,29,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,29,42.0,20.0,11.0,30.0
Sardyńska 1,29,44.0,20.0,10.0,30.0
Pamiętajcie o Ogrodach 4,29,43.0,20.0,12.0,30.0
Gen. Tadeusza Pełczyńskiego 14,29,41.0,18.0,12.0,29.0
Aleja Niepodległości 162,29,42.0,20.0,12.0,30.0
Złota 44,30,41.0,19.0,12.0,30.0
Aleja Komisji Edukacji Narodowej 14,30,41.0,19.0,12.0,29.0
Mińska 25A,30,41.0,19.0,13.0,30.0
Częstochowska 4/6,30,42.0,20.0,11.0,30.0
Ostrobramska 71,30,40.0,19.0,12.0,30.0
Bulwary B. Grzymały Siedleckiego,30,42.0,20.0,11.0,30.0
